ID	TD	ploidy	td_sum	file	norm	norm_td	name
BLM/RECQL5	40	1	455324147	blm-recq5-1-single-f15-r6-c4_S529_.trimmed.mdup.bam	455324147	40	HMM
BLM/RECQL5	51	1	397890882	blm-recq5-1-single-f13-r1-c2_S394_.trimmed.mdup.bam	397890882	51	HMM
BLM/RECQL5	45	1	423015143	blm_recq5-2-single-c15-w8_.trimmed.mdup.bam	423015143	45	HMM
BLM/RECQL5	29	1	394815896	blm-recq5-1-single-c3-w19-3d6_S60_.trimmed.mdup.bam	394815896	29	HMM
BLM/RECQL5	49	1	394165642	blm-recq5-1-single-c11-w33-3d6_S427_.trimmed.mdup.bam	394165642	49	HMM
BLM/RECQL5	25	1	373907739	blm_recq5-2-single-c16-w5_.trimmed.mdup.bam	373907739	25	HMM
BLM/RECQL5	27	1	403214132	blm_recq5-2-single-c15-w17_.trimmed.mdup.bam	403214132	27	HMM
BLM/RECQL5	34	1	377030414	blm-recq5-2-single-f16-r6-c5_S579_.trimmed.mdup.bam	377030414	34	HMM
WT	36	1	349844867	fucci-wt-single-f11-r2-c3_S108_.trimmed.mdup.bam	349844867	36	HMM
WT	40	1	369645989	fucci-wt-single-f11-r6-c3_S136_.trimmed.mdup.bam	369645989	40	HMM
BLM/RECQL5	28	1	406677463	blm-recq5-2-single-f16-r2-c4_S550_.trimmed.mdup.bam	406677463	28	HMM
BLM/RECQL5	43	1	394477993	blm_recq5-1-single-c14-w38_.trimmed.mdup.bam	394477993	43	HMM
BLM/RECQL5	44	1	418069813	blm-recq5-1-single-c3-w11-3d6_S56_.trimmed.mdup.bam	418069813	44	HMM
BLM/RECQL5	76	1	459453451	blm-recq5-2-single-c12-w24-3d6_S467_.trimmed.mdup.bam	459453451	76	HMM
BLM/RECQL5	86	1	475555198	blm-recq5-1-single-f13-r7-c1_S435_.trimmed.mdup.bam	475555198	86	HMM
BLM/RECQL5	58	1	368637154	blm-recq5-1-single-f15-r6-c1_S526_.trimmed.mdup.bam	368637154	58	HMM
BLM/RECQL5	42	1	472503899	blm-recq5-1-single-f15-r6-c3_S528_.trimmed.mdup.bam	472503899	42	HMM
RECQL5	105	1	426896102	recq5-2-single-f10-r7-c6_S293_.trimmed.mdup.bam	426896102	105	HMM
BLM/RECQL5	72	1	382115577	blm-recq5-2-single-f16-r4-c4_S564_.trimmed.mdup.bam	382115577	72	HMM
BLM/RECQL5	42	1	358129915	blm-recq5-1-single-c11-w18-3d6_S412_.trimmed.mdup.bam	358129915	42	HMM
BLM/RECQL5	37	1	341075537	blm_recq5-2-single-c15-w42_.trimmed.mdup.bam	341075537	37	HMM
RECQL5	57	1	307716073	recq5-2-single-f10-r2-c3_S255_.trimmed.mdup.bam	307716073	57	HMM
BLM/RECQL5	83	1	340096952	blm-recq5-1-single-f15-r5-c4_S522_.trimmed.mdup.bam	340096952	83	HMM
RECQL5	60	1	346218738	recq5-2-single-f11-r5-c2_S324_.trimmed.mdup.bam	346218738	60	HMM
BLM/RECQL5	56	1	317594537	blm-recq5-1-single-f14-r4-c6_S468_.trimmed.mdup.bam	317594537	56	HMM
BLM/RECQL5	44	1	311957376	blm-recq5-1-single-f14-r5-c6_S475_.trimmed.mdup.bam	311957376	44	HMM
BLM/RECQL5	57	1	349890601	blm-recq5-2-single-f16-r1-c6_S545_.trimmed.mdup.bam	349890601	57	HMM
WT	27	1	351991033	fucci-wt-single-f11-r2-c7_S112_.trimmed.mdup.bam	351991033	27	HMM
WT	24	1	353576849	fucci-wt-single-f11-r6-c7_S140_.trimmed.mdup.bam	353576849	24	HMM
BLM/RECQL5	186	1	505683423	blm-recq5-1-single-f13-r1-c1_S393_.trimmed.mdup.bam	505683423	186	HMM
BLM	28	1	285934639	blm-1-single-f5-r3-c1_S15_.trimmed.mdup.bam	285934639	28	HMM
BLM	91	1	317128035	blm-1-single-f5-r2-c1_S8_.trimmed.mdup.bam	317128035	91	HMM
BLM	90	1	303515865	blm-1-single-f7-r7-c1_S141_.trimmed.mdup.bam	303515865	90	HMM
BLM/RECQL5	35	1	379044266	blm-recq5-1-single-f14-r3-c7_S462_.trimmed.mdup.bam	379044266	35	HMM
BLM/RECQL5	71	1	337881583	blm-recq5-1-single-f14-r7-c6_S489_.trimmed.mdup.bam	337881583	71	HMM
BLM/RECQL5	39	1	320606933	blm-recq5-2-single-f16-r2-c1_S547_.trimmed.mdup.bam	320606933	39	HMM
BLM/RECQL5	70	1	461515696	blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam	461515696	70	HMM
BLM/RECQL5	62	1	336402802	blm-recq5-1-single-f15-r5-c5_S523_.trimmed.mdup.bam	336402802	62	HMM
BLM/RECQL5	92	1	291108750	blm-recq5-1-single-f15-r6-c2_S527_.trimmed.mdup.bam	291108750	92	HMM
BLM	35	1	297675118	blm-1-single-c9-w33_.trimmed.mdup.bam	297675118	35	HMM
BLM	27	1	238955915	blm-1-single-c9-w44_.trimmed.mdup.bam	238955915	27	HMM
BLM	81	1	320491492	blm-1-single-f5-r4-c6_S27_.trimmed.mdup.bam	320491492	81	HMM
RECQL5	27	1	353105277	recq5-2-single-c6-w12-3d6_S161_.trimmed.mdup.bam	353105277	27	HMM
BLM	22	1	330068505	blm-1-single-c9-w40_.trimmed.mdup.bam	330068505	22	HMM
BLM	31	1	374181060	blm-1-single-c10-w37_.trimmed.mdup.bam	374181060	31	HMM
BLM/RECQL5	43	1	394187805	blm-recq5-1-single-f14-r1-c1_S442_.trimmed.mdup.bam	394187805	43	HMM
BLM/RECQL5	52	1	421579922	blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam	421579922	52	HMM
BLM	30	1	278086908	blm-1-single-f5-r5-c2_S30_.trimmed.mdup.bam	278086908	30	HMM
RECQL5	79	1	421173798	recq5-2-single-c6-w6-3d6_S155_.trimmed.mdup.bam	421173798	79	HMM
BLM	54	1	315356164	blm-1-single-f7-r5-c5_S131_.trimmed.mdup.bam	315356164	54	HMM
BLM	22	1	405171293	blm-1-single-f7-r6-c2_S135_.trimmed.mdup.bam	405171293	22	HMM
BLM	69	1	356450182	blm-1-single-f7-r4-c4_S123_.trimmed.mdup.bam	356450182	69	HMM
BLM	34	1	314614027	blm-1-single-c10-w38_.trimmed.mdup.bam	314614027	34	HMM
BLM	51	1	380052350	blm-1-single-c10-w30_.trimmed.mdup.bam	380052350	51	HMM
